WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,Health Care,Health Care Distributors
WEC,Wec Energy Group Inc,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower Inc.,Real Estate,Health Care REITs
WDC,Western Digital,Information Technology,"Technology Hardware Storage & Peripherals"
WU,Western Union Co,Information Technology,Internet Software & Services
WRK,WestRock Company,Materials,Paper Packaging
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy Inc,Utilities,Multi-Utilities
XRX,Xerox Corp.,Information Technology,"Technology Hardware Storage & Peripherals"
XLNX,Xilinx Inc,Information Technology,Semiconductors
XL,XL Capital,Financials,Property & Casualty Insurance
XYL,Xylem Inc.,Industrials,Industrial Machinery
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
